"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
675, 5.363336801528925e-01, 4.694207531100510e-03, 8.824250196903823e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.248967648089327e+00, 0.000000000000000e+00, 1.299587059235730e+00, 1.095747925671325e+00, 0.000000000000000e+00, -8.893505746985489e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650377829102407e-07, 2.933757189846364e-03, 2.565683547228492e-04, -3.202943973593983e+02, 2.425919398542476e+00, 0.000000000000000e+00
701, 5.188096761703488e-01, 3.305403160996777e-03, 8.821336129238416e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.247503027292039e+00, 0.000000000000000e+00, 1.299001210916816e+00, 1.095615776775327e+00, 0.000000000000000e+00, -9.010675410768434e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650226740750411e-07, 3.029462464033993e-03, 2.170952611372177e-04, -3.434126165034679e+02, 2.462533871390933e+00, 0.000000000000000e+00
727, 5.012295246124268e-01, 2.178597615303438e-03, 8.865563006860442e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.263832107335644e+00, 0.000000000000000e+00, 1.305532842934257e+00, 1.095631660011781e+00, 0.000000000000000e+00, -7.704349007280079e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650244900833213e-07, 3.063605360753654e-03, 1.776234609764896e-04, -3.455304461177535e+02, 2.480270918716482e+00, 0.000000000000000e+00
753, 4.835794866085050e-01, 1.262807113543374e-03, 8.943291555310896e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.292924212508813e+00, 0.000000000000000e+00, 1.317169685003525e+00, 1.095790244938597e+00, 0.000000000000000e+00, -5.376980593426641e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650426211625292e-07, 3.031269715689708e-03, 1.455271147287439e-04, -3.276626394058121e+02, 2.477684657536730e+00, 0.000000000000000e+00
779, 4.658685922622680e-01, 4.809675982839767e-04, 9.037419872463494e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.328449070545470e+00, 0.000000000000000e+00, 1.331379628218188e+00, 1.096075675777853e+00, 0.000000000000000e+00, -2.534991950494004e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.650752513219092e-07, 2.938410481465318e-03, 1.257097398906363e-04, -2.955965699062804e+02, 2.452536821088180e+00, 0.000000000000000e+00
805, 4.480717480182650e-01, -2.562687985660367e-04, 9.132107956319621e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.364500099487044e+00, 0.000000000000000e+00, 1.345800039794818e+00, 1.096459493599302e+00, 0.000000000000000e+00, 3.490903648319500e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.651191223649871e-07, 2.792771913672306e-03, 1.192620252278134e-04, -2.569381154717018e+02, 2.405658661650006e+00, 0.000000000000000e+00
831, 4.301885962486270e-01, -1.042704479580686e-03, 9.210280918328153e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.394405657181126e+00, 0.000000000000000e+00, 1.357762262872450e+00, 1.096816435457701e+00, 0.000000000000000e+00, 2.741534980358474e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651599146326078e-07, 2.637159971681819e-03, 1.262873912850923e-04, -2.203857217759648e+02, 2.349522195835135e+00, 0.000000000000000e+00
857, 4.122794568538670e-01, -1.970277477525935e-03, 9.257087298468593e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.412404849484613e+00, 0.000000000000000e+00, 1.364961939793845e+00, 1.097057206873675e+00, 0.000000000000000e+00, 4.181470364637409e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651874269290614e-07, 2.501762663258226e-03, 1.440183812731096e-04, -1.906083563438089e+02, 2.297250690546802e+00, 0.000000000000000e+00
883, 3.944020271301270e-01, -3.102821464879481e-03, 9.266556308853066e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.416199493299601e+00, 0.000000000000000e+00, 1.366479797319840e+00, 1.097154878326392e+00, 0.000000000000000e+00, 4.485041869836472e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651985867305825e-07, 2.404863309866583e-03, 1.677223457803910e-04, -1.698992276486284e+02, 2.256940536075933e+00, 0.000000000000000e+00
909, 3.766198158264165e-01, -4.457287287302804e-03, 9.234132283846579e-01, 0.000000000000000e+00, 0.000000000000000e+00, 3.404054989018451e+00, 0.000000000000000e+00, 1.361621995607380e+00, 1.097093290212872e+00, 0.000000000000000e+00, 3.513481527344499e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.651915498173335e-07, 2.359708902898525e-03, 1.949540530293961e-04, -1.591628477397662e+02, 2.235853219454075e+00, 0.000000000000000e+00
